Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteCase2,Chrome 68.0.3440.106,,2018-08-28 16:00:07,2018-08-28 16:00:35,28.468s,FAILED
,,,,,,
Test Cases/case2,Chrome 68.0.3440.106,,2018-08-28 16:00:07,2018-08-28 16:00:14,6.989s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 16:00:07,2018-08-28 16:00:09,2.505s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:00:09,2018-08-28 16:00:14,4.298s,FAILED
,,,,,,
Test Cases/case2,Chrome 68.0.3440.106,,2018-08-28 16:00:14,2018-08-28 16:00:19,5.435s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 16:00:14,2018-08-28 16:00:19,5.423s,FAILED
,,,,,,
Test Cases/case2,Chrome 68.0.3440.106,,2018-08-28 16:00:19,2018-08-28 16:00:27,8.109s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 16:00:19,2018-08-28 16:00:21,1.905s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:00:21,2018-08-28 16:00:24,3.294s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 16:00:24,2018-08-28 16:00:25,0.220s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 16:00:25,2018-08-28 16:00:25,0.071s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 16:00:25,2018-08-28 16:00:25,0.114s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 16:00:25,2018-08-28 16:00:25,0.101s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-28 16:00:25,2018-08-28 16:00:26,1.509s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 16:00:26,2018-08-28 16:00:26,0.104s,PASSED
Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Sign in or Register  edX/li_Enter a password with at le)),Chrome 68.0.3440.106,,2018-08-28 16:00:26,2018-08-28 16:00:27,0.044s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-08-28 16:00:27,2018-08-28 16:00:27,0.125s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-28 16:00:27,2018-08-28 16:00:27,0.610s,PASSED
,,,,,,
Test Cases/case2,Chrome 68.0.3440.106,,2018-08-28 16:00:27,2018-08-28 16:00:34,7.156s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 16:00:27,2018-08-28 16:00:29,1.916s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:00:29,2018-08-28 16:00:34,5.231s,FAILED
