Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteCase2,Firefox 61.0,,2018-08-28 16:05:35,2018-08-28 16:06:11,36.420s,FAILED
,,,,,,
Test Cases/case2,Firefox 61.0,,2018-08-28 16:05:35,2018-08-28 16:05:44,9.358s,PASSED
openBrowser,Firefox 61.0,,2018-08-28 16:05:35,2018-08-28 16:05:38,2.870s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-28 16:05:38,2018-08-28 16:05:40,2.647s,PASSED
setText,Firefox 61.0,,2018-08-28 16:05:40,2018-08-28 16:05:41,0.121s,PASSED
setText,Firefox 61.0,,2018-08-28 16:05:41,2018-08-28 16:05:41,0.080s,PASSED
setText,Firefox 61.0,,2018-08-28 16:05:41,2018-08-28 16:05:41,0.077s,PASSED
setText,Firefox 61.0,,2018-08-28 16:05:41,2018-08-28 16:05:41,0.049s,PASSED
selectOptionByValue,Firefox 61.0,,2018-08-28 16:05:41,2018-08-28 16:05:43,2.359s,PASSED
click,Firefox 61.0,,2018-08-28 16:05:43,2018-08-28 16:05:43,0.270s,PASSED
Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Sign in or Register  edX/li_Enter a password with at le)),Firefox 61.0,,2018-08-28 16:05:43,2018-08-28 16:05:43,0.034s,PASSED
verifyTextPresent,Firefox 61.0,,2018-08-28 16:05:43,2018-08-28 16:05:44,0.441s,PASSED
closeBrowser,Firefox 61.0,,2018-08-28 16:05:44,2018-08-28 16:05:44,0.203s,PASSED
,,,,,,
Test Cases/case2,Firefox 61.0,,2018-08-28 16:05:44,2018-08-28 16:05:53,8.433s,PASSED
openBrowser,Firefox 61.0,,2018-08-28 16:05:44,2018-08-28 16:05:46,2.238s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-28 16:05:46,2018-08-28 16:05:49,2.815s,PASSED
setText,Firefox 61.0,,2018-08-28 16:05:49,2018-08-28 16:05:49,0.088s,PASSED
setText,Firefox 61.0,,2018-08-28 16:05:49,2018-08-28 16:05:49,0.078s,PASSED
setText,Firefox 61.0,,2018-08-28 16:05:49,2018-08-28 16:05:49,0.055s,PASSED
setText,Firefox 61.0,,2018-08-28 16:05:49,2018-08-28 16:05:49,0.057s,PASSED
selectOptionByValue,Firefox 61.0,,2018-08-28 16:05:49,2018-08-28 16:05:52,2.173s,PASSED
