Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteCase2,Firefox 61.0,,2018-08-28 15:57:42,2018-08-28 16:00:05,2m - 23.542s,FAILED
,,,,,,
Test Cases/case2,Firefox 61.0,,2018-08-28 15:57:42,2018-08-28 15:58:19,36.593s,FAILED
openBrowser,Firefox 61.0,,2018-08-28 15:57:42,2018-08-28 15:57:45,2.882s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-28 15:57:45,2018-08-28 15:57:48,2.495s,PASSED
setText,Firefox 61.0,,2018-08-28 15:57:48,2018-08-28 15:58:19,31.018s,FAILED
,,,,,,
Test Cases/case2,Firefox 61.0,,2018-08-28 15:58:19,2018-08-28 15:58:54,35.512s,FAILED
openBrowser,Firefox 61.0,,2018-08-28 15:58:19,2018-08-28 15:58:21,2.503s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-28 15:58:21,2018-08-28 15:58:23,2.121s,PASSED
setText,Firefox 61.0,,2018-08-28 15:58:23,2018-08-28 15:58:54,30.879s,FAILED
,,,,,,
Test Cases/case2,Firefox 61.0,,2018-08-28 15:58:54,2018-08-28 15:59:30,35.498s,FAILED
openBrowser,Firefox 61.0,,2018-08-28 15:58:54,2018-08-28 15:58:57,2.445s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-28 15:58:57,2018-08-28 15:58:59,2.187s,PASSED
setText,Firefox 61.0,,2018-08-28 15:58:59,2018-08-28 15:59:30,30.865s,FAILED
,,,,,,
Test Cases/case2,Firefox 61.0,,2018-08-28 15:59:30,2018-08-28 16:00:05,35.513s,FAILED
openBrowser,Firefox 61.0,,2018-08-28 15:59:30,2018-08-28 15:59:32,2.497s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-28 15:59:32,2018-08-28 15:59:34,2.171s,PASSED
setText,Firefox 61.0,,2018-08-28 15:59:34,2018-08-28 16:00:05,30.835s,FAILED
