Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteCase2,Firefox 61.0,,2018-08-28 16:51:50,2018-08-28 16:52:28,38.829s,FAILED
,,,,,,
Test Cases/case2,Firefox 61.0,,2018-08-28 16:51:50,2018-08-28 16:52:03,13.160s,PASSED
openBrowser,Firefox 61.0,,2018-08-28 16:51:50,2018-08-28 16:51:53,2.899s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-28 16:51:53,2018-08-28 16:51:59,6.269s,PASSED
setText,Firefox 61.0,,2018-08-28 16:51:59,2018-08-28 16:51:59,0.104s,PASSED
setText,Firefox 61.0,,2018-08-28 16:51:59,2018-08-28 16:51:59,0.070s,PASSED
setText,Firefox 61.0,,2018-08-28 16:51:59,2018-08-28 16:51:59,0.076s,PASSED
setText,Firefox 61.0,,2018-08-28 16:51:59,2018-08-28 16:51:59,0.043s,PASSED
selectOptionByValue,Firefox 61.0,,2018-08-28 16:51:59,2018-08-28 16:52:02,2.486s,PASSED
click,Firefox 61.0,,2018-08-28 16:52:02,2018-08-28 16:52:02,0.306s,PASSED
waitForElementPresent,Firefox 61.0,,2018-08-28 16:52:02,2018-08-28 16:52:02,0.017s,PASSED
Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Sign in or Register  edX/li_Enter a password with at le)),Firefox 61.0,,2018-08-28 16:52:02,2018-08-28 16:52:02,0.040s,PASSED
verifyTextPresent,Firefox 61.0,,2018-08-28 16:52:02,2018-08-28 16:52:03,0.445s,PASSED
closeBrowser,Firefox 61.0,,2018-08-28 16:52:03,2018-08-28 16:52:03,0.206s,PASSED
,,,,,,
Test Cases/case2,Firefox 61.0,,2018-08-28 16:52:03,2018-08-28 16:52:11,8.243s,PASSED
openBrowser,Firefox 61.0,,2018-08-28 16:52:03,2018-08-28 16:52:05,2.269s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-28 16:52:05,2018-08-28 16:52:08,2.479s,PASSED
setText,Firefox 61.0,,2018-08-28 16:52:08,2018-08-28 16:52:08,0.078s,PASSED
setText,Firefox 61.0,,2018-08-28 16:52:08,2018-08-28 16:52:08,0.064s,PASSED
setText,Firefox 61.0,,2018-08-28 16:52:08,2018-08-28 16:52:08,0.065s,PASSED
setText,Firefox 61.0,,2018-08-28 16:52:08,2018-08-28 16:52:08,0.056s,PASSED
selectOptionByValue,Firefox 61.0,,2018-08-28 16:52:08,2018-08-28 16:52:10,2.274s,PASSED
click,Firefox 61.0,,2018-08-28 16:52:10,2018-08-28 16:52:10,0.265s,PASSED
waitForElementPresent,Firefox 61.0,,2018-08-28 16:52:10,2018-08-28 16:52:10,0.009s,PASSED
Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Sign in or Register  edX/li_Enter a password with at le)),Firefox 61.0,,2018-08-28 16:52:10,2018-08-28 16:52:10,0.022s,PASSED
verifyTextPresent,Firefox 61.0,,2018-08-28 16:52:10,2018-08-28 16:52:11,0.439s,PASSED
closeBrowser,Firefox 61.0,,2018-08-28 16:52:11,2018-08-28 16:52:11,0.202s,PASSED
,,,,,,
Test Cases/case2,Firefox 61.0,,2018-08-28 16:52:11,2018-08-28 16:52:20,8.376s,PASSED
openBrowser,Firefox 61.0,,2018-08-28 16:52:11,2018-08-28 16:52:13,2.270s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-28 16:52:13,2018-08-28 16:52:16,2.697s,PASSED
setText,Firefox 61.0,,2018-08-28 16:52:16,2018-08-28 16:52:16,0.074s,PASSED
setText,Firefox 61.0,,2018-08-28 16:52:16,2018-08-28 16:52:16,0.060s,PASSED
setText,Firefox 61.0,,2018-08-28 16:52:16,2018-08-28 16:52:16,0.066s,PASSED
